RouteNumber,SurveyYear,intensity,onset_DOY,lat,lon
500541,2003,onset_2,156,43.757738076923076,-92.00420015384616
500541,2003,onset_3,156,43.757738076923076,-92.00420015384616
500571,2002,onset_2,149,46.9753304,-95.6264597
500571,2002,onset_3,149,46.9753304,-95.6264597
500571,2003,onset_3,144,46.9753304,-95.6264597
500571,2010,onset_2,107,46.9753304,-95.6264597
500571,2010,onset_3,107,46.9753304,-95.6264597
500571,2011,onset_3,139,46.9753304,-95.6264597
500573,2005,onset_2,188,47.6354001,-91.4419106
500635,2011,onset_1,181,44.4819794,-92.3332099
500718,2003,onset_2,150,47.7060002,-91.7487404
500718,2003,onset_3,150,47.7060002,-91.7487404
500721,2005,onset_2,129,46.6237202,-95.8809906
500721,2005,onset_3,129,46.6237202,-95.8809906
500724,2003,onset_2,143,46.3980598,-92.7486404
500729,2014,onset_1,141,45.1944499,-93.7455886
500735,2011,onset_2,181,44.8364598,-92.89810940000001
500822,2011,onset_1,139,46.3737701,-94.19151169999999
500822,2011,onset_2,139,46.3737701,-94.19151169999999
500822,2011,onset_3,139,46.3737701,-94.19151169999999
500834,2003,onset_1,144,44.6572998,-93.5190309
500834,2003,onset_2,144,44.6572998,-93.5190309
500834,2003,onset_3,144,44.6572998,-93.5190309
500914,2007,onset_3,150,47.1884911,-95.2021994
501434,2010,onset_1,139,44.921609600000004,-93.4676
501434,2010,onset_2,139,44.921609600000004,-93.4676
501434,2010,onset_3,139,44.921609600000004,-93.4676
520103,2006,onset_3,122,40.382221,-93.451691
520118,2011,onset_1,107,37.741308,-93.822337
520118,2011,onset_2,107,37.741308,-93.822337
520118,2011,onset_3,107,37.741308,-93.822337
520315,2015,onset_2,113,38.19053272222222,-91.10513988888889
520614,2010,onset_2,133,38.86617167,-92.317465
580005,2004,onset_3,130,43.11169334,-71.81185999
580005,2005,onset_3,130,43.11169334,-71.81185999
580104,2002,onset_3,109,43.43269444,-72.34069443
580107,2006,onset_3,131,42.780635,-72.42534166
580107,2009,onset_1,190,42.780635,-72.42534166
580107,2011,onset_1,188,42.780635,-72.42534166
580108,2001,onset_2,121,42.82227,-71.84382502
580108,2001,onset_3,121,42.82227,-71.84382502
580203,2005,onset_1,156,44.382931660000004,-71.45446
580203,2005,onset_2,156,44.382931660000004,-71.45446
580203,2005,onset_3,156,44.382931660000004,-71.45446
580304,2003,onset_1,118,43.2949815,-72.1095919
580304,2003,onset_2,118,43.2949815,-72.1095919
580304,2003,onset_3,118,43.2949815,-72.1095919
580304,2004,onset_1,130,43.2949815,-72.1095919
580304,2004,onset_2,130,43.2949815,-72.1095919
580304,2004,onset_3,130,43.2949815,-72.1095919
580805,2001,onset_1,128,43.19711333,-71.12653667
580805,2001,onset_2,128,43.19711333,-71.12653667
580805,2001,onset_3,128,43.19711333,-71.12653667
590305,2005,onset_2,109,40.065388999999996,-74.366112
590305,2005,onset_3,109,40.065388999999996,-74.366112
590408,2014,onset_2,102,39.1103327,-74.8536665
590408,2014,onset_3,102,39.1103327,-74.8536665
590505,2006,onset_3,110,41.032362,-74.417055
590605,2014,onset_1,104,40.31632501,-74.10127834
590605,2014,onset_2,104,40.31632501,-74.10127834
590605,2014,onset_3,104,40.31632501,-74.10127834
590707,2006,onset_3,97,39.678723,-75.330832
590708,2003,onset_3,106,39.871138,-74.55930599999999
590807,2012,onset_3,95,39.90025931818182,-75.0238395
590907,2005,onset_3,109,39.532501499999995,-75.4325865
591005,2014,onset_1,100,40.58611,-74.60142
591005,2014,onset_2,100,40.58611,-74.60142
591005,2014,onset_3,100,40.58611,-74.60142
591408,2014,onset_3,98,39.561445,-75.037417
591708,2006,onset_3,103,39.832758875,-74.541135875
591805,2014,onset_1,103,40.455083,-74.882417
591805,2014,onset_2,103,40.455083,-74.882417
591805,2014,onset_3,103,40.455083,-74.882417
591905,2012,onset_1,116,40.269806,-74.653861
591905,2012,onset_2,116,40.269806,-74.653861
591905,2012,onset_3,116,40.269806,-74.653861
592105,2005,onset_1,96,40.08854667,-74.58372167
592105,2005,onset_2,96,40.08854667,-74.58372167
592105,2005,onset_3,96,40.08854667,-74.58372167
592208,2011,onset_3,117,39.65177909090909,-74.49267545454545
592305,2011,onset_1,117,40.731001,-74.307556
592308,2003,onset_2,105,39.465083,-74.812056
592308,2003,onset_3,105,39.465083,-74.812056
592308,2015,onset_3,106,39.465083,-74.812056
610123,2009,onset_2,130,41.74225001,-73.66997222
610123,2009,onset_3,130,41.74225001,-73.66997222
610323,2009,onset_1,159,41.81618626363636,-73.77666023636364
610323,2009,onset_2,159,41.81618626363636,-73.77666023636364
610323,2009,onset_3,159,41.81618626363636,-73.77666023636364
610323,2012,onset_3,83,41.81618626363636,-73.77666023636364
610323,2013,onset_1,159,41.81618626363636,-73.77666023636364
610323,2013,onset_2,159,41.81618626363636,-73.77666023636364
610419,2014,onset_3,110,42.71877771,-74.06096653
610422,2009,onset_1,157,41.7733661,-74.1042526
610422,2009,onset_2,157,41.7733661,-74.1042526
610422,2009,onset_3,157,41.7733661,-74.1042526
610523,2012,onset_1,179,41.326251383333336,-73.88145945
610523,2012,onset_2,179,41.326251383333336,-73.88145945
610523,2012,onset_3,179,41.326251383333336,-73.88145945
610620,2009,onset_1,187,42.5420659,-73.56538789999999
610620,2009,onset_2,159,42.5420659,-73.56538789999999
610620,2009,onset_3,187,42.5420659,-73.56538789999999
610620,2011,onset_3,94,42.5420659,-73.56538789999999
610620,2013,onset_3,151,42.5420659,-73.56538789999999
610620,2015,onset_3,158,42.5420659,-73.56538789999999
610723,2009,onset_1,158,41.242291,-73.7795962
610822,2009,onset_1,165,41.6521283,-74.21555359999999
610822,2009,onset_3,104,41.6521283,-74.21555359999999
610822,2014,onset_3,124,41.6521283,-74.21555359999999
610823,2009,onset_1,158,41.33593114666667,-73.63177318666666
610823,2013,onset_1,160,41.33593114666667,-73.63177318666666
610823,2013,onset_2,160,41.33593114666667,-73.63177318666666
610823,2014,onset_1,188,41.33593114666667,-73.63177318666666
610823,2014,onset_2,188,41.33593114666667,-73.63177318666666
