RouteNumber,year,first
500413,2009.0,106
500422,2009.0,105
500429,2009.0,104
500541,2009.0,83
500635,2009.0,103
500729,2009.0,105
500822,2009.0,107
500834,2009.0,102
501434,2009.0,103
520118,2009.0,41
580107,2009.0,95
580107,2009.0,95
580203,2009.0,114
580304,2009.0,108
580304,2009.0,108
580805,2009.0,97
590605,2009.0,67
591005,2009.0,68
591805,2009.0,68
591905,2009.0,67
592105,2009.0,67
592305,2009.0,69
610323,2009.0,86
610323,2009.0,86
610422,2009.0,86
610523,2009.0,76
610620,2009.0,88
610723,2009.0,76
610822,2009.0,86
610823,2009.0,78
610823,2009.0,78
610823,2009.0,78
610920,2009.0,88
610920,2009.0,88
611122,2009.0,87
630110,2009.0,59
630210,2009.0,58
630211,2009.0,66
630224,2009.0,42
630224,2009.0,42
630323,2009.0,41
630510,2009.0,57
630810,2009.0,46
630923,2009.0,42
720111,2009.0,68
720214,2009.0,68
800107,2009.0,41
800407,2009.0,41
800507,2009.0,41
820403,2009.0,41
880104,2009.0,58
880110,2009.0,45
880319,2009.0,59
880417,2009.0,58
880417,2009.0,58
880417,2009.0,58
880504,2009.0,65
881113,2009.0,43
881404,2009.0,66
881404,2009.0,66
881604,2009.0,50
900405,2009.0,69
210302,2010.0,71
210702,2010.0,71
250304,2010.0,37
250406,2010.0,36
350116,2010.0,71
350116,2010.0,71
350116,2010.0,71
350511,2010.0,75
350511,2010.0,75
350610,2010.0,75
350814,2010.0,70
360219,2010.0,77
360416,2010.0,90
360417,2010.0,88
360511,2010.0,83
360511,2010.0,83
440109,2010.0,93
440113,2010.0,89
440209,2010.0,93
440315,2010.0,91
440415,2010.0,89
440508,2010.0,110
440516,2010.0,90
460107,2010.0,71
460107,2010.0,71
460107,2010.0,71
460307,2010.0,70
460405,2010.0,72
460501,2010.0,83
460508,2010.0,70
460508,2010.0,70
460604,2010.0,73
460703,2010.0,72
460703,2010.0,72
460703,2010.0,72
460704,2010.0,74
460706,2010.0,72
470403,2010.0,79
470503,2010.0,78
500132,2010.0,91
500133,2010.0,90
500135,2010.0,90
500180,2010.0,83
500180,2010.0,83
500215,2010.0,90
500235,2010.0,90
500271,2010.0,94
500271,2010.0,94
500332,2010.0,91
500413,2010.0,93
500422,2010.0,89
500429,2010.0,88
500541,2010.0,89
500635,2010.0,89
500729,2010.0,89
500822,2010.0,89
500834,2010.0,89
501434,2010.0,89
520118,2010.0,69
580107,2010.0,88
580107,2010.0,88
580203,2010.0,93
580304,2010.0,93
580304,2010.0,93
580805,2010.0,84
590605,2010.0,73
591005,2010.0,74
591805,2010.0,75
591905,2010.0,73
592105,2010.0,73
592305,2010.0,74
610323,2010.0,78
610323,2010.0,78
610422,2010.0,79
610523,2010.0,76
610620,2010.0,80
610723,2010.0,76
610822,2010.0,79
610823,2010.0,77
610823,2010.0,77
610823,2010.0,77
610920,2010.0,80
610920,2010.0,80
611122,2010.0,79
630110,2010.0,80
630210,2010.0,79
630211,2010.0,89
630224,2010.0,55
630224,2010.0,55
630323,2010.0,54
630510,2010.0,78
630810,2010.0,73
630923,2010.0,54
720111,2010.0,78
720214,2010.0,76
800107,2010.0,62
800407,2010.0,58
800507,2010.0,63
820403,2010.0,69
880104,2010.0,72
880110,2010.0,73
880319,2010.0,75
880417,2010.0,77
880417,2010.0,77
880417,2010.0,77
880504,2010.0,74
881113,2010.0,70
881404,2010.0,74
881404,2010.0,74
881604,2010.0,72
900405,2010.0,91
210302,2011.0,50
210702,2011.0,50
250304,2011.0,36
250406,2011.0,35
350116,2011.0,52
350116,2011.0,52
350116,2011.0,52
350511,2011.0,71
350511,2011.0,71
350610,2011.0,75
350814,2011.0,51
360219,2011.0,79
360416,2011.0,81
360417,2011.0,79
360511,2011.0,95
360511,2011.0,95
440109,2011.0,117
440113,2011.0,108
440209,2011.0,118
440315,2011.0,108
440415,2011.0,104
440508,2011.0,126
440516,2011.0,107
460107,2011.0,51
460107,2011.0,51
460107,2011.0,51
460307,2011.0,50
460405,2011.0,58
460501,2011.0,82
460508,2011.0,49
460508,2011.0,49
460604,2011.0,60
460703,2011.0,59
460703,2011.0,59
460703,2011.0,59
460704,2011.0,61
460706,2011.0,52
470403,2011.0,95
470503,2011.0,78
500132,2011.0,101
500133,2011.0,101
500135,2011.0,100
500180,2011.0,99
500180,2011.0,99
500215,2011.0,114
500235,2011.0,101
500271,2011.0,115
500271,2011.0,115
500332,2011.0,102
500413,2011.0,114
500422,2011.0,102
500429,2011.0,100
500541,2011.0,100
500635,2011.0,100
500729,2011.0,100
500822,2011.0,113
500834,2011.0,100
501434,2011.0,100
520118,2011.0,50
580107,2011.0,102
580107,2011.0,102
580203,2011.0,115
580304,2011.0,112
580304,2011.0,112
580805,2011.0,101
590605,2011.0,65
591005,2011.0,70
591805,2011.0,69
591905,2011.0,64
592105,2011.0,64
592305,2011.0,69
610323,2011.0,91
610323,2011.0,91
610422,2011.0,81
610523,2011.0,76
610620,2011.0,99
610723,2011.0,76
610822,2011.0,92
610823,2011.0,77
610823,2011.0,77
610823,2011.0,77
610920,2011.0,96
610920,2011.0,96
611122,2011.0,92
630110,2011.0,56
630210,2011.0,53
630211,2011.0,59
630224,2011.0,43
630224,2011.0,43
630323,2011.0,43
630510,2011.0,54
630810,2011.0,51
630923,2011.0,40
720111,2011.0,80
