RouteNumber,year,first
590605,2000.0,64
591005,2000.0,68
591805,2000.0,68
591905,2000.0,65
592105,2000.0,62
592305,2000.0,69
610323,2000.0,82
610323,2000.0,82
610422,2000.0,83
610523,2000.0,76
610620,2000.0,84
610723,2000.0,72
610822,2000.0,83
610823,2000.0,76
610823,2000.0,76
610823,2000.0,76
610920,2000.0,83
610920,2000.0,83
611122,2000.0,85
630110,2000.0,56
630210,2000.0,57
630211,2000.0,58
630224,2000.0,44
630224,2000.0,44
630323,2000.0,45
630510,2000.0,55
630810,2000.0,55
630923,2000.0,44
720111,2000.0,61
720214,2000.0,61
800107,2000.0,45
800407,2000.0,45
800507,2000.0,45
820403,2000.0,48
880104,2000.0,57
880110,2000.0,57
880319,2000.0,57
880417,2000.0,56
880417,2000.0,56
880417,2000.0,56
880504,2000.0,57
881113,2000.0,53
881404,2000.0,57
881404,2000.0,57
881604,2000.0,57
900405,2000.0,68
210302,2001.0,51
210702,2001.0,52
250304,2001.0,38
250406,2001.0,37
350116,2001.0,55
350116,2001.0,55
350116,2001.0,55
350511,2001.0,74
350511,2001.0,74
350610,2001.0,75
350814,2001.0,55
360219,2001.0,96
360416,2001.0,96
360417,2001.0,96
360511,2001.0,98
360511,2001.0,98
440109,2001.0,122
440113,2001.0,122
440209,2001.0,123
440315,2001.0,121
440415,2001.0,118
440508,2001.0,124
440516,2001.0,121
460107,2001.0,52
460107,2001.0,52
460107,2001.0,52
460307,2001.0,57
460405,2001.0,70
460501,2001.0,97
460508,2001.0,47
460508,2001.0,47
460604,2001.0,74
460703,2001.0,72
460703,2001.0,72
460703,2001.0,72
460704,2001.0,76
460706,2001.0,52
470403,2001.0,111
470503,2001.0,103
500132,2001.0,109
500133,2001.0,109
500135,2001.0,104
500180,2001.0,105
500180,2001.0,105
500215,2001.0,118
500235,2001.0,104
500271,2001.0,116
500271,2001.0,116
500332,2001.0,110
500413,2001.0,115
500422,2001.0,114
500429,2001.0,109
500541,2001.0,101
500635,2001.0,104
500729,2001.0,109
500822,2001.0,116
500834,2001.0,105
501434,2001.0,108
520118,2001.0,58
580107,2001.0,113
580107,2001.0,113
580203,2001.0,123
580304,2001.0,117
580304,2001.0,117
580805,2001.0,114
590605,2001.0,80
591005,2001.0,93
591805,2001.0,94
591905,2001.0,81
592105,2001.0,76
592305,2001.0,97
610323,2001.0,103
610323,2001.0,103
610422,2001.0,104
610523,2001.0,101
610620,2001.0,107
610723,2001.0,100
610822,2001.0,104
610823,2001.0,102
610823,2001.0,102
610823,2001.0,102
610920,2001.0,104
610920,2001.0,104
611122,2001.0,111
630110,2001.0,47
630210,2001.0,48
630211,2001.0,56
630224,2001.0,40
